description,properties,tags,code,is_position,is_transition,start_position,end_position,trans_start_node,trans_end_node
side ctrl w/ near open elbow and crossface,,side_control top_underhook bottom_supine crossface top_kneeling,Q2aAwQJFazuRQGddznKqcxxSRkbTzoJpbsxEToa1FVGgaYDSPnfgB7LGfaCxRle1LbLSfnLOSubdIJKoaVL8QsaUMqOmauNOP1azNAPva9NNPnblOlQAauNFN2ffGdOFe9MbPefdOPv1azIfCljpKozGaGIPC8hlHqyEbHICDOijIcBYhKINJsiuEeF7cdJFGMcjFZOPbwMhQcbBHkKwbhN5QNfyEQNIdfL9R4e1IWO0dcL5SggbJuPLd9MvRSgpKHKibTIsQDbQJ4SMbWLG,1,0,,,,
twister side control,,twister_side top_on_side side_control bottom_supine,DPaUwxULaRrgHtaEvNVYbjuKGFaEwZUHbgt6JaceDeO6d0w7P1cUEcOUgnDEOCeUNNLAisLxLNa9NFHQhvIWIebeLsDAhgJwHgb1LSCIg7KwGzcJK0BvgEKfOEeZHOM2hcNxMbhyPZvUazHSCuiOI1zyaEImDegaGyyybEIiDPhvGMBrhUIUJyiyCWFTcxJcHmcEFNO4btMxPYbtHuOlbcRaNcaUDKPFetOXRgbpE4QkfsOnSubzFoP0fIM7SVcFFXKebUI1QFbTKcTccDKx,1,0,,,,
north south,,north_south bottom_supine top_kneeling,5oazN44BazJj26drNp17dnJh2VcaN819b3INWBa3QRVQa5FZU7gUNqWrgNJVMxfdLLNtfzGFKwa4MHM6a1FCGwa2LgIOaTE5FwbILLIaaFDYExb6KZGQaBD6R9gsKfMfghI9JGf6ICs0a9JbuUaTBEwCaFJzyca9DqvQbTJoxeb3CSAiheI6BTg1DVFzcHJdGUcyFLOJbtMqPFbtHpNLfAOuPKfIFqRlfVMoS5fOIgR4fsNoT6gsHSTmfNNkUAhxIiJSbRIUQtbGJ9SzcMLk,1,0,,,,
seated back w/ hook on underhook side,,back seatbelt top_seated,LKaAKZNKfQIVOBaENkN7dlLCNcaUNvOWexLiIAerReVhfLNXOubETJR8caS1NyjqXkSPjRVKLWhyToTZhcR3PAhERoQbh2QbPoiuQoPyixReQejoP5OgihRiQxemWpP4kgWiP4mJVgSiazy1XHazAURkaECDWhaEEmRCbzBCWtbzDjPLgyF2UogSHdPMbMK7TechMjMrfMTeRChyTdLZdHO3TojvPnPBfLOCPEhiP2PqgyNzOogWP6P6gnMuNXfNPOP7drO6OQheTDOgjRTT,1,0,,,,
full guard kimura,,full_guard kimura bottom_supine top_kneeling top_posture_broken,ANaAxzxXaBCzBTaGA5zYbZFiCDaHzPzUaEEKI5bABQEjbsJOD3fFEHABe1EQGBeDMKBHceNyJldxI5w4c4NvLZaKKIv8e4JIMObdLCvyfUIYNYaILNuVfJHSCmfEIKD3dGNsEeb8PBCzdAzpKxgWAIADbVB2HneXAKAMdnBIIdfwBKxUiqFeFTeoHXyCbMHvzYbMKLqzbZNHvgbFQAsWbxJEx1dZNxvzeHIJvHdFJRuxfkI4uIelJqusgwJBt7ebIhvEbMKEsIb4Puq5cXRp,1,0,,,,
seated rnc w/ trapped arm,,top_seated bottom_seated back rear_naked_choke,K8heC6KQcIzsKCd0EJLhbACVJSfiETLfcUCjEbgMICNXgdHLHCbKLRLcb7MDFYkfNBLjkkOOHnj8I6NUi9K4JHkeMlJHjXKuJUk3NgIRkYKwLdk5NBH6k1LCIBe0OwIEkMN5H8mZMEGmaAu6NFazu3HbaEyKNDaEyNHcbyxFNZbxxLGEhdBBQhgmCdIpbCFeL7bKFiHkivK2L4hCMKGyevIGOVhFI1FqfqENKZjiJJFtgFEqKlkrJBFagUDbJTkZKFJ7dYIqJZjgLILqlyLy,1,0,,,,
flanking after standing drag,,standing,pEbaUIBzaCYxtfbaVrByduV8sjcbVeBtb2V1syi4UIAvbuPcy9hTWFBggBTRwToPSHBXppQuvwlVV7FumsQYuMiVTkCKljNPupiwSaBPk9MSvgh8RhB8keLYA8kVUjznpLRDygrQQlx8aEFZuNaDVauBaMGYrCa3TfvGbMHasJbRTAzthnIAwghPTnvumfLwuUm4O6CqqUJ0CBrDPhARmOIdFypRSoCapdLmHtn7OVCRp6LWIynKOlCUqjNcIzmzNLxppRMYCUr7MwFetsMD,1,0,,,,
combat base vs freshly broken guard,,combat_base bottom_supine full_guard,zhaABxEqaBFGBXc5BuAQa1E1BZbEA5BUbZFmIraYyHG0gtGVDieiBVALeqEGH3kiCgGglJG9HqfCB1EIhqIcJ7esFiHDeEJrKOemGlIBeqKkK9diGSJzdAJ2CKibDSHYldEWKhlwGjv9kkFdyXiCxmxrg6D3y8fFzwxOhYFcAegxy0Dnh7JkG8fGznFYbOHZHZbCETNQbGNjQgbwIzJka7OsPea1D2G3cBK6LibfFzHkdtKeLacsE5GyelJJJ1cVEEKjbNIyPSbXLlRRdtMh,1,0,,,,
seated butterfly dragging arm,,arm_drag top_kneeling bottom_seated butterfly two_on_one,PjaAwQHxazvtOscfz5HzciyHPkbczFG5a2ykP4aYGBECa6ERMSdhAYJgdRAzLKkNFmHAliB9KChdH5FxhdDdGOgiJRJdhVE8GugPK0JPiAF5FGgcLOKjh6G8LJhrAtJGlYDUISnCFMH6azBbMjazCxIYaEEPMbaKGhIAbADOMFbyFeESfCH1NOhwIBIAczMZMbbZMoIzksInNTjXIpGmgZF3QIguHbKzhUGcM3hYFGLPh4GhL0iLFxMmiCHlKVixGhKOf5LJLjkYH2McnmHa,1,0,,,,
turtle vs darce,,darce turtle,sJazvtoRazBpuKbYydrVckCou6bdw1rbbbCXBUbex3vEa3IcBmgqCGzagwFHJlfuGtGSeLLhKbaTGPEQaUJIMEauKdGUcWGDNza8KMH6dnGWNWaCLYISdMFWDpfLGuIreDIXKQdGJtW7aHViYaaBP9XaaRRDW0aNMFWdblSEWma6NVQsexQxPJaZPPQJffJCRibEI3JMhhF6IRchEEKJfQKsINaWI6GzgJLiIYezLfFjgzLeInfhKnEPflLsIuguJ7OtdzGiI5e4EwGZfwCZ,1,0,,,,
